开始测试时间,测试耗时,测试位置,项目名称,测试结果,蓝牙地址,输出功率-测试结果,输出功率-低频-最大(dBm),输出功率-低频-最小(dBm),输出功率-低频-峰值(dBm),输出功率-低频-平均(dBm),输出功率-低频-结果,输出功率-中频-最大(dBm),输出功率-中频-最小(dBm),输出功率-中频-峰值(dBm),输出功率-中频-平均(dBm),输出功率-中频-结果,输出功率-高频-最大(dBm),输出功率-高频-最小(dBm),输出功率-高频-峰值(dBm),输出功率-高频-平均(dBm),输出功率-高频-结果,频偏漂移-测试结果,平均频偏-低频(kHz),最大+ve频偏-低频(kHz),最大-ve频偏-低频(kHz),漂移速率-低频(kHz),最大漂移-低频(kHz),平均漂移-低频(kHz),频偏漂移-低频-结果,平均频偏-中频(kHz),最大+ve频偏-中频(kHz),最大-ve频偏-中频(kHz),漂移速率-中频(kHz),最大漂移-中频(kHz),平均漂移-中频(kHz),频偏漂移-中频-结果,平均频偏-高频(kHz),最大+ve频偏-高频(kHz),最大-ve频偏-高频(kHz),漂移速率-高频(kHz),最大漂移-高频(kHz),平均漂移-高频(kHz),频偏漂移-高频-结果,单时隙灵敏度-测试结果,误码率-低频(%),误帧率-低频-结果,误码率-中频(%),误帧率-中频-结果,误码率-高频(%),误帧率-高频-结果
2023-04-03 12:29:08,12.7,P1,TK-045,FAIL,654654654,FAIL,1.16,1.13,0.26,1.14,PASS,1.95,1.94,0.34,1.95,PASS,5.15,5.13,0.09,5.14,FAIL,PASS,2.420e+004,2.590e+004,2.130e+004,4211,-5.0e+003,-1.0e+003,PASS,2.470e+004,2.740e+004,2.310e+004,5627,6.0e+003,-1.0e+003,PASS,2.520e+004,2.700e+004,2.220e+004,5035,-5.0e+003,-2.0e+003,PASS,FAIL,23.500,PASS,35.500,FAIL,12.000,PASS
2023-04-03 12:29:39,12.7,P1,TK-045,FAIL,455464495499,FAIL,1.21,1.19,0.08,1.20,PASS,1.97,1.95,0.25,1.96,PASS,5.14,5.13,0.08,5.14,FAIL,PASS,2.410e+004,2.640e+004,2.000e+004,3772,-4.0e+003,-1.0e+003,PASS,2.460e+004,2.870e+004,2.310e+004,4324,-5.0e+003,-1.0e+003,PASS,2.510e+004,2.670e+004,2.230e+004,4990,-7.0e+003,-2.0e+003,PASS,FAIL,28.000,PASS,82.500,FAIL,18.000,PASS
2023-04-03 12:30:58,12.5,P1,TK-045,FAIL,456546465,FAIL,1.20,1.18,0.15,1.19,PASS,2.01,2.00,0.47,2.01,PASS,5.14,5.13,0.13,5.14,FAIL,PASS,2.420e+004,2.860e+004,2.210e+004,-4861,-6.0e+003,0.0e+000,PASS,2.470e+004,2.900e+004,2.270e+004,4910,4.0e+003,1.0e+003,PASS,2.520e+004,2.730e+004,2.300e+004,5112,6.0e+003,-1.0e+003,PASS,PASS,15.500,PASS,28.000,PASS,13.500,PASS
2023-04-03 12:31:15,12.6,P1,TK-045,FAIL,4564564564654654,FAIL,1.26,1.24,0.10,1.24,PASS,2.04,2.02,0.38,2.03,PASS,5.09,5.07,0.08,5.08,FAIL,PASS,2.420e+004,2.650e+004,2.200e+004,-5393,-6.0e+003,-3.0e+003,PASS,2.460e+004,2.800e+004,2.290e+004,3912,-6.0e+003,-2.0e+003,PASS,2.510e+004,2.720e+004,2.250e+004,5536,-7.0e+003,-3.0e+003,PASS,FAIL,37.500,FAIL,53.500,FAIL,11.000,PASS
2023-04-03 13:42:24,12.6,P1,TK-045,FAIL,64564646,FAIL,1.34,1.30,0.08,1.32,PASS,2.15,2.14,0.08,2.15,PASS,5.11,5.10,0.10,5.11,FAIL,PASS,2.420e+004,2.850e+004,2.170e+004,-5958,-8.0e+003,-4.0e+003,PASS,2.460e+004,2.730e+004,2.250e+004,4376,4.0e+003,0.0e+000,PASS,2.520e+004,2.810e+004,2.270e+004,4691,-7.0e+003,-3.0e+003,PASS,FAIL,66.500,FAIL,29.000,PASS,31.500,FAIL
2023-04-03 13:48:23,12.5,P1,TK-045,FAIL,6465456,FAIL,1.19,1.15,0.09,1.17,PASS,2.21,2.19,0.31,2.20,PASS,5.12,5.11,0.08,5.11,FAIL,PASS,24.1,26.4,22.4,-3.806,-5.0,1.0,PASS,24.6,27.0,21.9,4.721,-6.0,-2.0,PASS,25.1,27.7,23.4,4.145,-6.0,-2.0,FAIL,27.500,PASS,94.500,FAIL,31.500,FAIL
2023-04-03 13:53:42,12.5,P1,TK-045,FAIL,6514651616,FAIL,1.21,1.16,0.10,1.19,PASS,2.23,2.21,0.12,2.22,PASS,5.05,5.04,0.14,5.05,FAIL,PASS,24.2,26.1,22.7,3.671,-6.0,-2.0,PASS,24.6,26.3,19.5,4.839,8.0,1.0,PASS,25.1,27.6,23.2,-4.728,-5.0,-1.0,PASS,FAIL,41.500,FAIL,56.500,FAIL,32.000,FAIL
2023-04-03 13:56:18,12.5,P1,TK-045,FAIL,654654645,FAIL,1.21,1.18,0.21,1.19,PASS,2.26,2.24,0.20,2.25,PASS,5.02,5.01,0.08,5.02,FAIL,PASS,24.1,26.8,21.5,-4.252,-5.0,0.0,PASS,24.6,27.4,22.4,3.955,-7.0,-1.0,PASS,25.1,29.3,23.6,-3.989,-6.0,-2.0,PASS,FAIL,64.000,FAIL,30.500,PASS,30.500,PASS
2023-04-03 13:58:08,12.0,P1,TK-045,FAIL,65464sdf6465,FAIL,1.38,1.34,0.08,1.36,PASS,2.18,2.16,0.22,2.17,PASS,5.02,5.01,0.11,5.02,FAIL,PASS,24.1,26.7,20.6,-3.65,-5.0,-4.0,PASS,24.5,26.8,22.0,-4.718,5.0,0.0,PASS,25.1,27.5,23.1,3.994,-5.0,-2.0,PASS,FAIL,29.500,PASS,33.000,FAIL,73.000,FAIL
2023-04-03 14:00:53,11.9,P1,TK-045,FAIL,61616516,FAIL,1.35,1.32,0.09,1.34,PASS,2.09,2.07,0.36,2.08,PASS,5.08,5.07,0.08,5.07,FAIL,PASS,24.1,26.8,22.0,-4.285,-5.0,0.0,PASS,24.6,27.3,22.0,4.074,-6.0,-2.0,PASS,25.1,27.5,23.2,4.141,-5.0,-2.0,PASS,FAIL,50.600,FAIL,36.800,FAIL,26.200,PASS
