开始测试时间,测试耗时,测试位置,项目名称,测试结果,蓝牙地址,输出功率-测试结果,输出功率-低频-最大(dBm),输出功率-低频-最小(dBm),输出功率-低频-峰值(dBm),输出功率-低频-平均(dBm),输出功率-低频-结果,输出功率-中频-最大(dBm),输出功率-中频-最小(dBm),输出功率-中频-峰值(dBm),输出功率-中频-平均(dBm),输出功率-中频-结果,输出功率-高频-最大(dBm),输出功率-高频-最小(dBm),输出功率-高频-峰值(dBm),输出功率-高频-平均(dBm),输出功率-高频-结果,频偏漂移-测试结果,平均频偏-低频(kHz),最大+ve频偏-低频(kHz),最大-ve频偏-低频(kHz),漂移速率-低频(kHz),最大漂移-低频(kHz),平均漂移-低频(kHz),频偏漂移-低频-结果,平均频偏-中频(kHz),最大+ve频偏-中频(kHz),最大-ve频偏-中频(kHz),漂移速率-中频(kHz),最大漂移-中频(kHz),平均漂移-中频(kHz),频偏漂移-中频-结果,平均频偏-高频(kHz),最大+ve频偏-高频(kHz),最大-ve频偏-高频(kHz),漂移速率-高频(kHz),最大漂移-高频(kHz),平均漂移-高频(kHz),频偏漂移-高频-结果,单时隙灵敏度-测试结果,误码率-低频(%),误帧率-低频-结果,误码率-中频(%),误帧率-中频-结果,误码率-高频(%),误帧率-高频-结果
2023-04-24 09:33:24,10.9,P2,TK-045,PASS,A4C138355060,PASS,1.02,1.02,0.15,1.02,PASS,0.38,0.38,0.16,0.38,PASS,-0.67,-0.68,0.17,-0.68,PASS,PASS,22.0,23.3,21.0,2.438,3.0,0.0,PASS,22.4,23.8,20.7,2.582,-2.0,1.0,PASS,22.9,24.4,21.9,2.759,4.0,1.0,PASS,PASS,0.400,PASS,10.200,PASS,2.200,PASS
2023-04-24 15:28:43,10.8,P1,TK-045,PASS,A4C138A557C6,PASS,-1.22,-1.22,0.10,-1.22,PASS,0.78,0.77,0.09,0.77,PASS,0.26,0.26,0.14,0.26,PASS,PASS,17.4,18.4,16.1,-2.856,-3.0,0.0,PASS,17.7,18.7,16.7,2.597,-2.0,0.0,PASS,18.1,19.3,17.1,-2.686,-2.0,0.0,PASS,PASS,5.200,PASS,3.600,PASS,3.400,PASS
2023-04-24 15:28:58,10.7,P2,TK-045,PASS,A4C138A55FC6,PASS,-0.21,-0.26,0.14,-0.23,PASS,-0.71,-0.76,0.19,-0.75,PASS,-1.89,-1.93,0.18,-1.90,PASS,PASS,22.0,23.0,20.6,-2.328,3.0,1.0,PASS,22.4,23.8,21.6,2.136,2.0,0.0,PASS,22.9,24.2,21.6,2.417,3.0,1.0,PASS,PASS,2.600,PASS,4.200,PASS,6.600,PASS
2023-04-24 15:30:05,12.7,P1,TK-045,FAIL,A4C138B55DF6,FAIL,0.00,0.00,0.00,0.00,FAIL,0.00,0.00,0.00,0.00,FAIL,0.00,0.00,0.00,0.00,FAIL,FAIL,0.0,0.0,0.0,0.0,0.0,0.0,FAIL,0.0,0.0,0.0,0.0,0.0,0.0,FAIL,0.0,0.0,0.0,0.0,0.0,0.0,FAIL,FAIL,2.600,FAIL,4.200,FAIL,6.600,FAIL
2023-04-24 15:30:20,10.8,P2,TK-045,PASS,A4C138A558C6,PASS,-1.41,-1.41,0.16,-1.41,PASS,-1.90,-1.91,0.22,-1.90,PASS,-3.00,-3.00,0.19,-3.00,PASS,PASS,18.2,18.8,16.7,2.258,3.0,1.0,PASS,18.5,19.4,17.1,2.362,3.0,2.0,PASS,18.9,20.7,18.1,-2.67,3.0,0.0,PASS,PASS,6.800,PASS,9.400,PASS,16.000,PASS
2023-04-24 15:30:41,10.8,P1,TK-045,PASS,A4C1384558F6,PASS,-0.68,-0.69,0.12,-0.69,PASS,1.41,1.41,0.08,1.41,PASS,0.84,0.83,0.14,0.84,PASS,PASS,23.1,23.9,22.0,-2.234,-2.0,-1.0,PASS,23.5,24.4,22.7,2.408,-2.0,-2.0,PASS,24.0,25.1,22.8,2.304,-3.0,-2.0,PASS,PASS,8.000,PASS,17.000,PASS,2.600,PASS
2023-04-24 15:30:55,10.7,P2,TK-045,PASS,A4C138B55DF6,PASS,1.66,1.65,0.16,1.65,PASS,1.13,1.12,0.19,1.13,PASS,-0.05,-0.06,0.21,-0.05,PASS,PASS,21.5,22.1,20.4,-2.515,-2.0,0.0,PASS,21.9,23.8,20.4,-2.533,3.0,1.0,PASS,22.4,23.6,21.5,2.6,3.0,2.0,PASS,PASS,3.000,PASS,7.800,PASS,4.000,PASS
2023-04-24 15:31:27,10.7,P2,TK-045,PASS,A4C138A558C6,PASS,-1.44,-1.45,0.16,-1.44,PASS,-1.97,-1.97,0.17,-1.97,PASS,-3.08,-3.09,0.19,-3.08,PASS,PASS,18.1,19.5,17.2,-2.658,3.0,1.0,PASS,18.5,19.2,17.1,-2.408,2.0,1.0,PASS,18.9,20.2,17.6,2.802,3.0,0.0,PASS,PASS,7.400,PASS,13.400,PASS,11.000,PASS
2023-04-24 15:31:40,10.8,P1,TK-045,PASS,A4C138A556C6,PASS,-2.36,-2.37,0.13,-2.36,PASS,-0.45,-0.45,0.11,-0.45,PASS,-1.42,-1.42,0.16,-1.42,PASS,PASS,19.6,20.7,18.7,-2.188,-2.0,0.0,PASS,20.0,21.1,19.0,-2.643,-3.0,-1.0,PASS,20.4,21.8,19.5,-2.747,-3.0,0.0,PASS,PASS,14.200,PASS,8.400,PASS,5.800,PASS
2023-04-24 16:32:33,10.8,P1,TK-045,PASS,A4C1384554F6,PASS,-1.47,-1.48,0.10,-1.48,PASS,0.38,0.37,0.08,0.38,PASS,-0.35,-0.35,0.14,-0.35,PASS,PASS,21.2,22.1,20.2,-2.267,-2.0,0.0,PASS,21.6,22.8,20.7,-2.066,-3.0,0.0,PASS,22.1,23.4,21.1,-2.472,2.0,0.0,PASS,PASS,7.200,PASS,12.200,PASS,3.000,PASS
