开始测试时间,测试耗时,测试位置,项目名称,测试结果,蓝牙地址,输出功率-测试结果,输出功率-低频-最大(dBm),输出功率-低频-最小(dBm),输出功率-低频-峰值(dBm),输出功率-低频-平均(dBm),输出功率-低频-结果,输出功率-中频-最大(dBm),输出功率-中频-最小(dBm),输出功率-中频-峰值(dBm),输出功率-中频-平均(dBm),输出功率-中频-结果,输出功率-高频-最大(dBm),输出功率-高频-最小(dBm),输出功率-高频-峰值(dBm),输出功率-高频-平均(dBm),输出功率-高频-结果,频偏漂移-测试结果,平均频偏-低频(kHz),最大+ve频偏-低频(kHz),最大-ve频偏-低频(kHz),漂移速率-低频(kHz),最大漂移-低频(kHz),平均漂移-低频(kHz),频偏漂移-低频-结果,平均频偏-中频(kHz),最大+ve频偏-中频(kHz),最大-ve频偏-中频(kHz),漂移速率-中频(kHz),最大漂移-中频(kHz),平均漂移-中频(kHz),频偏漂移-中频-结果,平均频偏-高频(kHz),最大+ve频偏-高频(kHz),最大-ve频偏-高频(kHz),漂移速率-高频(kHz),最大漂移-高频(kHz),平均漂移-高频(kHz),频偏漂移-高频-结果,单时隙灵敏度-测试结果,误码率-低频(%),误帧率-低频-结果,误码率-中频(%),误帧率-中频-结果,误码率-高频(%),误帧率-高频-结果
2023-04-17 15:34:50,15.7,P1,TK-045,PASS,A4C1389558C6,PASS,-0.20,-0.21,0.10,-0.20,PASS,1.02,1.02,0.09,1.02,PASS,0.52,0.51,0.15,0.51,PASS,PASS,14.4,15.4,13.0,-2.338,2.0,0.0,PASS,14.7,15.8,13.4,-3.342,2.0,0.0,PASS,15.1,16.4,14.0,2.692,3.0,1.0,PASS,PASS,1.600,PASS,3.400,PASS,1.000,PASS
1681716908.0698934,15.8,P2,TK-045,PASS,A4C1389558C6,PASS,-1.07,-1.08,0.17,-1.08,PASS,-1.76,-1.76,0.21,-1.76,PASS,-2.63,-2.64,0.22,-2.63,PASS,PASS,18.6,19.7,17.5,2.31,3.0,0.0,PASS,18.9,20.4,17.7,-2.032,-2.0,1.0,PASS,19.3,20.3,18.4,2.533,3.0,2.0,PASS,PASS,4.000,PASS,13.400,PASS,7.600,PASS
2023-04-17 15:35:34,16.1,P1,TK-045,PASS,A4C138B556C6,PASS,-0.08,-0.08,0.09,-0.08,PASS,1.28,1.27,0.09,1.28,PASS,0.63,0.62,0.15,0.62,PASS,PASS,16.3,17.4,15.5,2.545,-3.0,0.0,PASS,16.6,17.5,15.8,2.301,-2.0,0.0,PASS,17.0,18.3,15.4,-2.261,-2.0,0.0,PASS,PASS,3.600,PASS,5.400,PASS,1.000,PASS
1681716952.3514338,16.7,P2,TK-045,PASS,A4C138A55AC6,PASS,-1.88,-1.89,0.17,-1.88,PASS,-2.55,-2.55,0.19,-2.55,PASS,-3.46,-3.46,0.21,-3.46,PASS,PASS,21.7,23.0,20.7,2.114,3.0,1.0,PASS,22.1,23.9,20.4,-2.502,3.0,2.0,PASS,22.6,23.5,21.0,2.173,3.0,0.0,PASS,PASS,9.200,PASS,13.400,PASS,11.800,PASS
2023-04-17 15:36:11,16.2,P1,TK-045,PASS,A4C138A55AC6,PASS,-0.78,-0.79,0.10,-0.78,PASS,0.56,0.55,0.09,0.55,PASS,-0.19,-0.20,0.16,-0.20,PASS,PASS,16.7,17.9,15.2,-2.49,-2.0,0.0,PASS,17.0,18.0,15.8,2.408,-2.0,0.0,PASS,17.4,18.6,15.6,2.713,-3.0,-1.0,PASS,PASS,4.600,PASS,3.000,PASS,1.800,PASS
1681716989.5389218,15.5,P2,TK-045,PASS,A4C138B55DF6,PASS,-0.97,-0.97,0.17,-0.97,PASS,-1.70,-1.70,0.20,-1.70,PASS,-2.59,-2.59,0.19,-2.59,PASS,PASS,19.5,20.5,18.5,-1.895,3.0,2.0,PASS,19.9,21.4,18.6,2.792,3.0,0.0,PASS,20.3,21.4,19.5,2.072,3.0,2.0,PASS,PASS,4.000,PASS,7.200,PASS,5.000,PASS
2023-04-17 15:36:47,16.2,P1,TK-045,PASS,A4C138B55DF6,PASS,1.93,1.93,0.08,1.93,PASS,3.13,3.12,0.09,3.12,PASS,2.39,2.38,0.14,2.39,PASS,PASS,21.3,22.5,20.5,2.142,-2.0,0.0,PASS,21.7,22.7,20.7,2.176,-2.0,0.0,PASS,22.1,23.0,21.2,2.139,-3.0,0.0,PASS,PASS,1.200,PASS,2.400,PASS,1.000,PASS
1681717025.4662812,15.9,P2,TK-045,PASS,A4C138A559C6,PASS,-1.57,-1.58,0.17,-1.57,PASS,-2.20,-2.21,0.19,-2.21,PASS,-3.08,-3.08,0.19,-3.08,PASS,PASS,21.8,22.5,19.6,2.094,4.0,2.0,PASS,22.2,23.4,20.3,2.6,3.0,2.0,PASS,22.6,23.8,21.7,-2.042,2.0,1.0,PASS,PASS,5.800,PASS,11.000,PASS,7.600,PASS
2023-04-17 15:37:23,15.6,P1,TK-045,PASS,A4C138A559C6,PASS,-0.67,-0.72,0.10,-0.69,PASS,0.51,0.47,0.10,0.50,PASS,-0.50,-0.55,0.16,-0.52,PASS,PASS,20.2,21.5,19.2,2.444,-2.0,0.0,PASS,20.6,21.7,19.4,2.298,-2.0,-1.0,PASS,21.1,22.4,20.0,2.765,-3.0,0.0,PASS,PASS,3.200,PASS,8.800,PASS,1.800,PASS
1681717061.220452,16.0,P2,TK-045,PASS,A4C138A558C6,PASS,1.20,1.19,0.15,1.20,PASS,0.36,0.35,0.19,0.35,PASS,-0.68,-0.69,0.19,-0.68,PASS,PASS,18.6,19.7,17.6,-3.006,3.0,2.0,PASS,19.0,20.6,17.6,2.597,3.0,1.0,PASS,19.4,20.6,17.8,2.469,3.0,0.0,PASS,PASS,3.600,PASS,5.200,PASS,2.000,PASS
