开始测试时间,测试耗时,测试位置,项目名称,测试结果,蓝牙地址,输出功率-测试结果,输出功率-低频-最大(dBm),输出功率-低频-最小(dBm),输出功率-低频-峰值(dBm),输出功率-低频-平均(dBm),输出功率-低频-结果,输出功率-中频-最大(dBm),输出功率-中频-最小(dBm),输出功率-中频-峰值(dBm),输出功率-中频-平均(dBm),输出功率-中频-结果,输出功率-高频-最大(dBm),输出功率-高频-最小(dBm),输出功率-高频-峰值(dBm),输出功率-高频-平均(dBm),输出功率-高频-结果,频偏漂移-测试结果,平均频偏-低频(kHz),最大+ve频偏-低频(kHz),最大-ve频偏-低频(kHz),漂移速率-低频(kHz),最大漂移-低频(kHz),平均漂移-低频(kHz),频偏漂移-低频-结果,平均频偏-中频(kHz),最大+ve频偏-中频(kHz),最大-ve频偏-中频(kHz),漂移速率-中频(kHz),最大漂移-中频(kHz),平均漂移-中频(kHz),频偏漂移-中频-结果,平均频偏-高频(kHz),最大+ve频偏-高频(kHz),最大-ve频偏-高频(kHz),漂移速率-高频(kHz),最大漂移-高频(kHz),平均漂移-高频(kHz),频偏漂移-高频-结果,单时隙灵敏度-测试结果,误码率-低频(%),误帧率-低频-结果,误码率-中频(%),误帧率-中频-结果,误码率-高频(%),误帧率-高频-结果,
10:12:25,0:00:10,P2,TK-045,FAIL,MAC: A4C1383556A3,PASS,-2.40,-2.41,0.13,-2.41,PASS,-2.37,-2.37,0.17,-2.37,PASS,-4.20,-4.20,0.17,-4.20,PASS,PASS,29.2,30.1,28.5,2.3,3,1,PASS,29.8,31.5,28.9,-2.54,4,1,PASS,30.4,31.9,29.3,2.83,3,0,PASS,PASS,
10:13:59,0:00:07,P2,TK-045,FAIL,MAC: A4C138A559A3,PASS,-2.26,-2.26,0.12,-2.26,PASS,-1.87,-1.87,0.18,-1.87,PASS,-3.60,-3.61,0.16,-3.60,PASS,PASS,32.6,33.3,31.5,2.65,3,0,PASS,33.2,34.8,32.4,2.96,-2,0,PASS,33.9,35,32.5,-2.13,2,1,PASS,PASS,
10:16:13,0:00:10,P2,TK-045,FAIL,MAC: A4C138155BA3,PASS,-2.17,-2.23,0.13,-2.20,PASS,-1.97,-2.02,0.17,-2.00,PASS,-3.49,-3.54,0.17,-3.52,PASS,PASS,25.6,26.6,24.6,-2.18,3,1,PASS,26.1,27.4,24.5,2.27,2,0,PASS,26.6,27.7,25.6,-2.37,3,1,PASS,FAIL,100.000,FAIL,-3944.400,PASS,-6401.400,PASS,
10:18:35,0:00:07,P2,TK-045,FAIL,MAC: A4C1383553A3,PASS,-2.07,-2.07,0.13,-2.07,PASS,-1.56,-1.57,0.16,-1.57,PASS,-2.95,-2.95,0.15,-2.95,PASS,PASS,21.5,22.9,20.4,-2.68,2,0,PASS,21.9,22.9,21.1,-2.44,-2,0,PASS,22.4,23.6,21.6,-2.42,3,0,PASS,PASS,
10:19:08,0:00:10,P2,TK-045,FAIL,MAC: A4C1383553A3,PASS,-1.94,-1.95,0.13,-1.95,PASS,-1.70,-1.71,0.16,-1.70,PASS,-3.26,-3.26,0.15,-3.26,PASS,PASS,21.6,22.9,20.1,2.08,3,0,PASS,22,23.5,21,-2.26,-2,0,PASS,22.5,23.5,20.8,-2.25,-2,0,PASS,PASS,
10:19:45,0:00:11,P2,TK-045,FAIL,MAC: A4C1381559A3,PASS,-2.34,-2.34,0.13,-2.34,PASS,-1.84,-1.85,0.16,-1.84,PASS,-3.46,-3.46,0.15,-3.46,PASS,PASS,25.8,27.2,24.5,2.36,-3,0,PASS,26.3,27.4,25.1,-2.18,3,1,PASS,26.9,28.8,25.3,3.2,-2,1,PASS,PASS,
10:20:47,0:00:07,P2,TK-045,FAIL,MAC: A4C1381559A3,PASS,-2.11,-2.11,0.14,-2.11,PASS,-1.65,-1.66,0.17,-1.65,PASS,-3.09,-3.09,0.15,-3.09,PASS,PASS,26.1,27.3,25.1,2.3,3,1,PASS,26.6,27.8,25.5,2.05,3,1,PASS,27.1,28.6,25.2,2.15,-2,0,PASS,PASS,
10:26:17,0:00:10,P2,TK-045,FAIL,MAC: A4C138A558A3,PASS,-1.72,-1.73,0.13,-1.72,PASS,-0.92,-0.92,0.16,-0.92,PASS,-2.32,-2.37,0.15,-2.37,PASS,PASS,17,18,15.8,2.35,2,1,PASS,17.4,18.4,16.2,2.36,2,0,PASS,17.8,18.6,16.7,2.35,3,0,PASS,PASS,
10:26:42,0:00:11,P2,TK-045,FAIL,MAC: A4C138A558A3,PASS,-1.68,-1.73,0.13,-1.73,PASS,-0.81,-0.81,0.16,-0.81,PASS,-2.13,-2.18,0.15,-2.18,PASS,PASS,16.9,17.7,15.6,2.16,2,0,PASS,17.2,18.3,16.1,2.55,3,0,PASS,17.6,19.1,16.5,-2.55,3,1,PASS,PASS,
11:16:38,0:00:07,P2,TK-045,FAIL,MAC: A4C138B550B3,PASS,-1.30,-1.30,0.13,-1.30,PASS,-0.56,-0.57,0.16,-0.57,PASS,-2.01,-2.01,0.15,-2.01,PASS,PASS,26.8,27.5,26,-2.53,3,1,PASS,27.2,28.4,25.9,-2.44,3,1,PASS,27.8,30.1,26.8,-2.32,3,1,PASS,PASS,
11:19:19,0:00:07,P2,TK-045,FAIL,MAC: A4C1386556A3,PASS,-2.15,-2.15,0.12,-2.15,PASS,-1.52,-1.53,0.17,-1.52,PASS,-3.15,-3.15,0.16,-3.15,PASS,PASS,14.9,16.2,14.1,-2.63,2,1,PASS,15.2,16.3,13.9,2.7,2,0,PASS,15.6,17,14.8,-2.75,3,2,PASS,PASS,
11:41:53,0:00:19,P2,TK-045,FAIL,MAC: A4C138F55BA3,PASS,-2.21,-2.22,0.13,-2.21,PASS,-1.72,-1.73,0.16,-1.73,PASS,-2.81,-2.82,0.14,-2.81,PASS,PASS,27.5,28.7,26.3,2.32,2,0,PASS,28.1,29.7,27,-2.1,3,1,PASS,28.6,30,27.8,3.07,3,0,PASS,PASS,
14:38:01,0:00:19,P2,TK-045,FAIL,MAC: A4C138C55BA3,PASS,-3.24,-3.25,0.14,-3.25,PASS,-1.28,-1.29,0.16,-1.28,PASS,-2.21,-2.21,0.15,-2.21,PASS,PASS,19.8,21,18.2,-2.3,-2,1,PASS,20.2,21.6,18.7,2.61,3,1,PASS,20.6,21.6,19.3,-2.17,3,2,PASS,PASS,
14:45:47,0:00:19,P2,TK-045,FAIL,MAC: A4C1381556A3,PASS,-2.44,-2.44,0.14,-2.44,PASS,-1.26,-1.27,0.16,-1.27,PASS,-2.49,-2.49,0.15,-2.49,PASS,PASS,29.6,31,28.2,-2.71,2,0,PASS,30.2,31.3,29.2,2.33,3,1,PASS,30.8,32.2,29.1,2.77,3,0,PASS,PASS,
15:03:48,0:00:19,P2,TK-045,FAIL,MAC: A4C138655A52,PASS,-3.12,-3.17,0.13,-3.13,PASS,-2.30,-2.30,0.16,-2.30,PASS,-3.67,-3.68,0.17,-3.67,PASS,PASS,18,19.3,16.7,-2.19,3,0,PASS,18.4,19.4,17.1,-2.03,3,2,PASS,18.8,19.6,17.1,-2.83,3,0,PASS,PASS,
15:05:32,0:00:19,P2,TK-045,FAIL,MAC: A4C138655D52,PASS,-3.10,-3.11,0.14,-3.11,PASS,-2.22,-2.23,0.17,-2.22,PASS,-3.79,-3.80,0.17,-3.79,PASS,PASS,24.3,25.2,23.4,-2.51,3,0,PASS,24.7,25.5,23.7,-2.62,-3,0,PASS,25.3,27.1,24.5,2.19,3,1,PASS,PASS,
15:27:18,0:00:19,P2,TK-045,FAIL,MAC: A4C1387556A3,PASS,-3.05,-3.06,0.14,-3.05,PASS,-2.38,-2.38,0.17,-2.38,PASS,-3.41,-3.41,0.15,-3.41,PASS,PASS,15.8,17.2,14.7,-2.17,2,1,PASS,16.2,17.3,15,2.23,3,0,PASS,16.5,17.5,15.1,2.4,2,1,PASS,PASS,
15:31:49,0:00:19,P2,TK-045,FAIL,MAC: A4C1387554A3,PASS,-2.30,-2.30,0.14,-2.30,PASS,-1.55,-1.56,0.16,-1.55,PASS,-2.89,-2.90,0.15,-2.90,PASS,PASS,14.3,15.1,13.2,-2.16,-3,0,PASS,14.6,15.3,13.4,2.12,2,0,PASS,14.9,16.7,14,-2.39,2,0,PASS,PASS,
