开始测试时间,测试耗时,测试位置,项目名称,测试结果,蓝牙地址,输出功率-测试结果,输出功率-低频-最大(dBm),输出功率-低频-最小(dBm),输出功率-低频-峰值(dBm),输出功率-低频-平均(dBm),输出功率-低频-结果,输出功率-中频-最大(dBm),输出功率-中频-最小(dBm),输出功率-中频-峰值(dBm),输出功率-中频-平均(dBm),输出功率-中频-结果,输出功率-高频-最大(dBm),输出功率-高频-最小(dBm),输出功率-高频-峰值(dBm),输出功率-高频-平均(dBm),输出功率-高频-结果,频偏漂移-测试结果,平均频偏-低频(kHz),最大+ve频偏-低频(kHz),最大-ve频偏-低频(kHz),漂移速率-低频(kHz),最大漂移-低频(kHz),平均漂移-低频(kHz),频偏漂移-低频-结果,平均频偏-中频(kHz),最大+ve频偏-中频(kHz),最大-ve频偏-中频(kHz),漂移速率-中频(kHz),最大漂移-中频(kHz),平均漂移-中频(kHz),频偏漂移-中频-结果,平均频偏-高频(kHz),最大+ve频偏-高频(kHz),最大-ve频偏-高频(kHz),漂移速率-高频(kHz),最大漂移-高频(kHz),平均漂移-高频(kHz),频偏漂移-高频-结果,单时隙灵敏度-测试结果,误码率-低频(%),误帧率-低频-结果,误码率-中频(%),误帧率-中频-结果,误码率-高频(%),误帧率-高频-结果,
10:17:42,0:00:16,P2,TK-045,FAIL,MAC: A4C1388556C3,PASS,-3.72,-3.72,0.12,-3.72,PASS,-1.46,-1.47,0.14,-1.46,PASS,-0.81,-0.81,0.14,-0.81,PASS,PASS,28.2,29.2,27.3,2.39,2,1,PASS,28.8,29.7,27.6,-2.24,2,0,PASS,29.3,30,28,-1.95,2,0,PASS,FAIL,96.000,FAIL,99.600,FAIL,99.800,FAIL,
10:21:14,0:00:15,P2,TK-045,FAIL,MAC: A4C138F55FE3,PASS,-3.43,-3.43,0.12,-3.43,PASS,-1.53,-1.54,0.14,-1.54,PASS,-1.24,-1.24,0.14,-1.24,PASS,PASS,33.7,35.1,32.4,2.27,2,0,PASS,34.3,35.3,33,2.98,4,0,PASS,35,36.1,33.8,-2.49,3,0,PASS,FAIL,66.600,FAIL,97.200,FAIL,99.200,FAIL,
10:34:05,0:00:11,P2,TK-045,FAIL,MAC: A4C1388556C3,PASS,-3.32,-3.32,0.13,-3.32,PASS,-1.25,-1.26,0.16,-1.25,PASS,-1.06,-1.06,0.14,-1.06,PASS,PASS,28.3,29.1,27.5,2.61,2,0,PASS,28.8,30.1,27.8,-2.53,3,0,PASS,29.4,30.1,28.2,-2.25,-3,1,PASS,FAIL,96.600,FAIL,100.000,FAIL,99.600,FAIL,
10:35:25,0:00:10,P2,TK-045,FAIL,MAC: A4C138F55FE3,PASS,-3.66,-3.66,0.12,-3.66,PASS,-1.85,-1.86,0.15,-1.86,PASS,-1.49,-1.50,0.15,-1.50,PASS,PASS,33.7,35,32.2,2.47,2,0,PASS,34.4,35.5,33.3,-2.49,2,0,PASS,35,36.2,33.9,-2.43,3,1,PASS,FAIL,96.000,FAIL,94.000,FAIL,100.000,FAIL,
15:51:00,0:00:10,P2,TK-045,FAIL,MAC: A4C1386556F3,PASS,-3.85,-3.85,0.12,-3.85,PASS,-1.98,-1.98,0.15,-1.98,PASS,-1.70,-1.71,0.14,-1.70,PASS,PASS,31.8,32.9,30.6,3.16,-2,0,PASS,32.4,34,31.4,-2.16,3,1,PASS,33,34.1,31.6,-2.26,3,0,PASS,FAIL,41.200,FAIL,-2.200,PASS,3.800,PASS,
15:51:28,0:00:12,P2,TK-045,FAIL,MAC: A4C1386556F3,FAIL,-6.16,-6.17,0.15,-6.16,FAIL,-2.43,-2.45,0.21,-2.45,PASS,-1.58,-1.59,0.15,-1.59,PASS,PASS,32.3,33.6,30.8,2.35,3,2,PASS,32.9,33.9,31.5,2.92,3,0,PASS,33.6,34.8,32.8,2.08,3,1,PASS,FAIL,36.200,FAIL,7.800,PASS,4.400,PASS,
15:52:44,0:00:10,P2,TK-045,FAIL,MAC: A4C1381558F3,PASS,-4.86,-4.92,0.13,-4.91,PASS,-2.80,-2.82,0.16,-2.82,PASS,-2.53,-2.54,0.14,-2.54,PASS,PASS,38.9,40.2,37.7,2.13,2,0,PASS,39.6,40.8,38.5,-2.4,3,0,PASS,40.3,41.6,38.8,2.44,3,0,PASS,FAIL,59.400,FAIL,15.800,PASS,3.600,PASS,
15:53:22,0:00:11,P2,TK-045,FAIL,MAC: A4C1381558F3,PASS,-4.37,-4.43,0.13,-4.42,PASS,-2.78,-2.83,0.16,-2.82,PASS,-2.68,-2.68,0.14,-2.68,PASS,PASS,39.2,40.3,38.3,2.45,3,0,PASS,39.9,41.6,38.9,-2.77,3,0,PASS,40.6,41.9,39.3,-1.97,3,1,PASS,FAIL,45.400,FAIL,12.600,PASS,8.400,PASS,
15:54:00,0:00:11,P2,TK-045,FAIL,MAC: A4C1386556F3,PASS,-4.74,-4.74,0.13,-4.74,PASS,-2.65,-2.66,0.14,-2.65,PASS,-2.36,-2.36,0.14,-2.36,PASS,PASS,31,32,29.5,-2.72,3,1,PASS,31.5,32.3,30.2,-2.37,3,2,PASS,32.2,33.4,30.4,-2.27,3,1,PASS,FAIL,65.400,FAIL,20.000,PASS,-1.800,PASS,
15:54:34,0:00:11,P2,TK-045,FAIL,MAC: A4C1382552F3,FAIL,-5.15,-5.16,0.13,-5.15,FAIL,-3.23,-3.24,0.16,-3.24,PASS,-3.03,-3.04,0.15,-3.04,PASS,PASS,37.2,39,36.1,-2.13,2,1,PASS,37.9,39.1,36.5,2.81,3,1,PASS,38.6,39.4,37.5,1.94,3,0,PASS,FAIL,57.600,FAIL,15.200,PASS,7.600,PASS,
